// Appendix III IF confusion matrix

           b     c     d     f     g    gw     h     j     k    kw     l     m     n    ng     -     p     s     t     w     z
     b 94.66  0.00  1.21  0.29  0.11  0.01  0.02  0.03  0.02  0.00  0.22  0.48  0.06  0.02  0.12  1.83  0.01  0.12  0.57  0.02
     c  0.00 93.87  0.00  0.05  0.07  0.01  0.02  0.06  0.04  0.00  0.03  0.00  0.01  0.01  0.00  0.00  1.62  0.35  0.01  3.63
     d  1.19  0.06 93.31  0.06  0.71  0.00  0.02  0.19  0.12  0.01  1.11  0.08  0.47  0.07  0.06  0.08  0.04  1.52  0.01  0.53
     f  0.63  0.09  0.20 97.69  0.03  0.03  0.16  0.00  0.00  0.01  0.09  0.03  0.01  0.05  0.08  0.18  0.23  0.21  0.15  0.06
     g  0.12  0.06  0.94  0.02 93.64  1.38  0.14  0.35  1.57  0.13  0.27  0.01  0.12  0.19  0.15  0.11  0.00  0.19  0.12  0.20
    gw  0.18  0.00  0.21  0.18 28.85 67.10  0.03  0.00  0.40  0.91  0.09  0.00  0.06  0.12  0.21  0.09  0.00  0.15  0.85  0.06
     h  0.01  0.08  0.03  0.06  0.09  0.02 95.90  0.39  0.41  0.17  0.29  0.15  0.08  0.27  0.55  0.39  0.03  0.39  0.15  0.01
     j  0.06  0.19  0.14  0.03  0.36  0.00  0.10 96.66  0.09  0.00  0.57  0.07  0.17  0.10  0.12  0.01  0.05  0.14  0.08  0.32
     k  0.01  0.32  0.18  0.04  2.51  0.09  0.33  0.10 92.91  1.02  0.06  0.00  0.05  0.08  0.03  0.21  0.03  1.60  0.09  0.14
    kw  0.00  0.00  0.00  0.13  0.54  1.07  0.27  0.13 14.21 82.71  0.00  0.00  0.00  0.00  0.13  0.27  0.00  0.27  0.13  0.00
     1  0.18  0.01  0.43  0.05  0.12  0.00  0.05  0.33  0.00  0.00 96.06  0.36  1.25  0.23  0.28  0.07  0.06  0.07  0.12  0.06
     m  0.40  0.00  0.02  0.02  0.02  0.01  0.03  0.02  0.00  0.02  0.44 96.90  0.12  0.12  0.19  0.08  0.01  0.00  1.37  0.00
     n  0.19  0.00  0.51  0.02  0.07  0.03  0.10  0.53  0.03  0.00 73.08  0.82 22.07  0.89  0.67  0.03  0.02  0.03  0.27  0.03
    ng  0.19  0.02  0.13  0.13  0.42  0.13  1.45  0.88  0.40  0.04  1.77  2.00  0.55 35.99 52.83  0.10  0.02  0.04  1.43  0.02
     -  0.15  0.18  0.06  0.00  0.18  0.00  0.49  0.58  0.12  0.12  0.80  0.80  0.31  6.59 85.41  0.06  0.03  0.00  0.98  0.06
     p  3.43  0.06  0.14  0.42  0.14  0.00  0.30  0.00  0.26  0.12  0.10  0.28  0.06  0.04  0.06 92.47  0.02  1.66  0.26  0.02
     s  0.00  0.70  0.05  0.31  0.02  0.00  0.02  0.02  0.00  0.00  0.05  0.00  0.01  0.00  0.02  0.01 97.74  0.03  0.01  0.89
     t  0.06  0.61  2.04  0.02  0.26  0.00  0.36  0.04  1.07  0.01  0.41  0.02  0.22  0.08  0.09  0.82  0.10 93.22  0.04  0.32
     w  0.57  0.01  0.01  0.07  4.35  0.64  0.09  0.02  0.19  0.15  0.20  1.67  0.01  0.16  0.22  0.14  0.02  0.02 91.10  0.05
     z  0.00  2.89  0.27  0.05  0.15  0.00  0.01  0.71  0.03  0.00  0.08  0.01  0.03  0.01  0.01  0.00  1.55  0.13  0.01 93.90
