#现代汉语语料库汉字频率表,,,,
#语料规模:2000万字,,,,
#只列入出现次数大于5次的字,,,,
#下载自www.cncorpus.org语料库在线网站,,,,
,,,,
,,,,
id,汉字,出现次数,频率（%）,累积频率（%）
1,的,759834,4.8867,4.8867
2,一,218650,1.4062,6.2929
3,是,204548,1.3155,7.6084000000000005
4,不,166481,1.0707,8.6791
5,了,147981,0.9517,9.6308
6,在,143951,0.9258,10.556600000000001
7,有,141221,0.9082,11.464800000000002
8,人,121628,0.7822,12.247000000000002
9,这,118473,0.7619,13.008900000000002
10,上,93773,0.6031,13.612000000000002
11,大,90830,0.5842,14.196200000000001
12,来,89806,0.5776,14.773800000000001
13,和,89644,0.5765,15.3503
14,我,89561,0.576,15.926300000000001
15,个,88999,0.5724,16.4987
16,中,84897,0.546,17.0447
17,地,83575,0.5375,17.5822
18,为,83201,0.5351,18.1173
19,他,76432,0.4916,18.6089
20,生,76261,0.4905,19.0994
21,要,75230,0.4838,19.583199999999998
22,们,74062,0.4763,20.059499999999996
23,以,72998,0.4695,20.528999999999996
24,到,72392,0.4656,20.994599999999995
25,国,67651,0.4351,21.429699999999993
26,时,67073,0.4314,21.861099999999993
27,就,65678,0.4224,22.283499999999993
28,出,62060,0.3991,22.682599999999994
29,说,60811,0.3911,23.073699999999995
30,会,59732,0.3842,23.457899999999995
31,也,58203,0.3743,23.832199999999997
32,子,57123,0.3674,24.199599999999997
33,学,55984,0.36,24.559599999999996
34,发,55875,0.3593,24.918899999999997
35,着,55666,0.358,25.276899999999998
36,对,54649,0.3515,25.6284
37,作,54616,0.3512,25.979599999999998
38,能,54355,0.3496,26.329199999999997
39,可,54066,0.3477,26.676899999999996
40,于,53387,0.3433,27.020199999999996
41,成,53259,0.3425,27.362699999999997
42,用,52866,0.34,27.702699999999997
43,过,50574,0.3253,28.027999999999995
44,动,50395,0.3241,28.352099999999997
45,主,50249,0.3232,28.675299999999996
46,下,49733,0.3198,28.995099999999997
47,而,49418,0.3178,29.312899999999996
48,年,47441,0.3051,29.617999999999995
49,分,46501,0.2991,29.917099999999994
50,得,46297,0.2977,30.214799999999993
51,家,45991,0.2958,30.510599999999993
